일,18시-20시,11월,284,4,413,251,8,368,252,6,397
일,18시-20시,12월,240,6,409,259,4,390,237,4,345
일,20시-22시,전체,2309,37,3585,2158,23,3345,2026,26,2946
일,20시-22시,1월,278,8,434,172,1,344,115,2,168
일,20시-22시,2월,160,4,239,145,3,223,166,2,251
일,20시-22시,3월,144,3,211,147,0,240,182,3,258
일,20시-22시,4월,168,2,264,202,4,304,157,1,228
일,20시-22시,5월,234,2,358,226,1,372,231,8,354
일,20시-22시,6월,189,2,270,175,2,277,195,1,277
일,20시-22시,7월,259,3,422,221,2,308,132,1,202
일,20시-22시,8월,175,3,289,158,2,227,150,1,216
일,20시-22시,9월,186,3,275,185,1,271,216,3,300
일,20시-22시,10월,217,1,346,182,5,268,169,2,242
일,20시-22시,11월,144,1,243,171,1,244,159,0,234
일,20시-22시,12월,155,5,234,174,1,267,154,2,216
일,22시-24시,전체,1425,25,2103,1197,22,1687,1075,22,1552
일,22시-24시,1월,127,2,191,123,4,177,73,0,99
일,22시-24시,2월,110,0,156,77,2,111,102,3,148
일,22시-24시,3월,123,0,174,70,2,96,92,1,147
일,22시-24시,4월,111,2,186,123,3,170,88,2,146
일,22시-24시,5월,154,1,242,93,1,133,108,2,156
일,22시-24시,6월,117,0,171,94,1,143,123,4,178
일,22시-24시,7월,143,1,222,119,0,159,82,1,113
일,22시-24시,8월,96,4,139,89,2,114,69,1,95
일,22시-24시,9월,128,6,184,91,2,129,98,2,132
일,22시-24시,10월,148,5,206,105,2,146,69,0,98
일,22시-24시,11월,76,2,95,102,1,148,78,3,106
일,22시-24시,12월,92,2,137,111,2,161,93,3,134
월,00시-02시,전체,655,18,934,617,22,889,595,10,828
월,00시-02시,1월,42,0,68,55,3,85,77,3,110
월,00시-02시,2월,34,0,43,47,3,61,59,0,81
월,00시-02시,3월,34,0,43,35,2,51,35,0,51
월,00시-02시,4월,65,2,100,48,1,76,54,1,72
월,00시-02시,5월,68,2,95,63,2,92,55,2,74
월,00시-02시,6월,69,2,104,54,1,69,36,0,58
월,00시-02시,7월,49,3,70,70,4,105,55,0,85
월,00시-02시,8월,68,2,89,41,0,69,40,0,55
월,00시-02시,9월,70,1,114,34,1,47,58,3,84
월,00시-02시,10월,74,2,103,68,2,89,41,1,55
월,00시-02시,11월,45,3,62,48,3,62,38,0,51
월,00시-02시,12월,37,1,43,54,0,83,47,0,52
월,02시-04시,전체,369,16,499,374,15,523,338,11,477
월,02시-04시,1월,32,2,43,35,2,56,26,2,48
월,02시-04시,2월,11,0,13,27,3,32,32,0,43
월,02시-04시,3월,15,0,25,22,0,36,21,1,31
월,02시-04시,4월,22,1,30,16,0,24,27,1,37
월,02시-04시,5월,31,3,39,45,2,64,20,0,25
월,02시-04시,6월,51,2,72,22,0,27,30,0,39
월,02시-04시,7월,42,1,53,37,2,42,38,0,53
월,02시-04시,8월,32,2,42,32,1,40,27,0,47
월,02시-04시,9월,42,2,55,30,3,45,41,2,56
월,02시-04시,10월,51,1,74,45,0,75,24,2,31
월,02시-04시,11월,18,1,24,36,0,47,20,1,25
월,02시-04시,12월,22,1,29,27,2,35,32,2,42
월,04시-06시,전체,621,25,842,674,27,944,671,24,896
월,04시-06시,1월,32,3,53,57,2,75,59,3,88
월,04시-06시,2월,43,0,53,48,1,86,53,5,60
월,04시-06시,3월,30,2,36,46,1,58,52,1,73
월,04시-06시,4월,49,2,70,48,5,62,56,1,67
월,04시-06시,5월,57,4,79,51,2,69,40,0,50
월,04시-06시,6월,41,2,54,50,3,68,38,2,49
월,04시-06시,7월,45,3,55,65,1,92,66,2,90
월,04시-06시,8월,79,4,110,59,2,89,64,4,85
월,04시-06시,9월,61,2,84,61,1,81,63,2,94
월,04시-06시,10월,75,0,100,66,2,93,57,3,84
월,04시-06시,11월,57,1,79,70,3,107,55,0,77
월,04시-06시,12월,52,2,69,53,4,64,68,1,79
월,06시-08시,전체,1816,43,2447,1998,30,2785,2079,41,2830
월,06시-08시,1월,190,7,247,152,3,182,187,3,292
월,06시-08시,2월,129,1,185,166,2,222,146,2,181
월,06시-08시,3월,111,5,151,152,3,209,142,2,192
월,06시-08시,4월,159,2,225,143,1,204,206,3,277
월,06시-08시,5월,191,2,256,179,2,266,146,1,190
월,06시-08시,6월,136,3,195,155,3,210,176,0,238
월,06시-08시,7월,135,4,174,184,3,255,186,0,253
월,06시-08시,8월,165,3,226,154,3,215,165,2,269
월,06시-08시,9월,124,3,157,177,1,279,183,6,242
월,06시-08시,10월,168,3,222,151,2,204,177,9,234
월,06시-08시,11월,168,7,218,213,4,297,164,9,206
월,06시-08시,12월,140,3,191,172,3,242,201,4,256
월,08시-10시,전체,3400,36,4761,3667,42,5149,3832,44,5249
월,08시-10시,1월,284,2,408,247,5,337,270,4,378
월,08시-10시,2월,194,1,261,257,3,378,200,4,258
월,08시-10시,3월,251,1,324,320,2,436,268,1,359
월,08시-10시,4월,271,1,395,282,1,384,393,4,585
월,08시-10시,5월,401,7,545,312,6,439,285,3,401
월,08시-10시,6월,268,2,382,322,2,454,356,2,478
월,08시-10시,7월,318,2,433,340,4,467,373,3,500
월,08시-10시,8월,279,6,393,319,3,426,305,2,403
월,08시-10시,9월,248,2,363,370,6,525,364,7,512
월,08시-10시,10월,322,5,465,289,4,472,330,3,456
월,08시-10시,11월,302,6,405,361,4,494,345,7,475
월,08시-10시,12월,262,1,387,248,2,337,343,4,444
월,10시-12시,전체,2917,47,4162,3031,33,4281,3233,46,4474
월,10시-12시,1월,258,2,378,239,2,364,279,4,400
월,10시-12시,2월,210,0,315,202,5,276,180,1,280
월,10시-12시,3월,201,3,276,227,1,317,260,4,365
월,10시-12시,4월,237,4,319,237,1,353,321,5,452
월,10시-12시,5월,308,5,406,292,3,418,248,3,346
월,10시-12시,6월,208,5,314,237,4,336,244,4,319
월,10시-12시,7월,272,1,391,298,2,417,327,4,430
월,10시-12시,8월,272,2,414,289,3,398,272,5,408
월,10시-12시,9월,197,5,278,282,3,376,321,6,442
월,10시-12시,10월,306,5,461,267,0,373,243,2,335
월,10시-12시,11월,233,8,310,253,7,335,234,2,303
월,10시-12시,12월,215,7,300,208,2,318,304,6,394
월,12시-14시,전체,3049,22,4308,3209,35,4644,3072,41,4336
월,12시-14시,1월,278,2,408,256,1,357,253,2,358
월,12시-14시,2월,220,1,297,214,2,295,177,2,257
월,12시-14시,3월,193,0,254,235,4,339,243,3,321
월,12시-14시,4월,243,3,326,255,3,363,302,2,426
월,12시-14시,5월,327,6,445,308,3,433,237,5,341
월,12시-14시,6월,244,3,353,272,2,413,242,5,337
월,12시-14시,7월,266,1,359,324,5,489,266,3,372
월,12시-14시,8월,314,1,467,264,4,376,239,7,378
월,12시-14시,9월,207,2,314,260,3,374,313,4,451
월,12시-14시,10월,335,1,498,315,3,472,243,1,341
월,12시-14시,11월,215,1,303,258,1,344,272,3,368
월,12시-14시,12월,207,1,284,248,4,389,285,4,386
월,14시-16시,전체,3318,33,4780,3503,47,4940,3382,40,4739
월,14시-16시,1월,310,4,444,302,6,440,268,6,380
월,14시-16시,2월,248,3,366,222,5,319,198,2,281
월,14시-16시,3월,194,3,274,275,2,395,248,5,345
월,14시-16시,4월,300,2,422,273,2,370,335,4,480
월,14시-16시,5월,352,5,463,375,7,522,275,3,371
월,14시-16시,6월,270,3,394,309,1,419,265,3,355
월,14시-16시,7월,251,1,354,325,9,473,304,2,456
월,14시-16시,8월,287,4,476,285,3,395,255,3,343
월,14시-16시,9월,237,4,349,292,4,383,350,6,502
월,14시-16시,10월,354,2,527,336,3,494,264,0,375
월,14시-16시,11월,269,0,369,291,2,422,293,3,414
월,14시-16시,12월,246,2,342,218,3,308,327,3,437
월,16시-18시,전체,3729,40,5250,3968,31,5462,4008,45,5541
월,16시-18시,1월,290,3,400,288,3,406,320,6,467
월,16시-18시,2월,242,5,332,246,1,335,230,0,334
월,16시-18시,3월,208,0,279,299,3,394,298,5,407
월,16시-18시,4월,302,0,425,325,2,409,406,4,558
월,16시-18시,5월,438,6,603,429,2,638,297,5,417
월,16시-18시,6월,293,4,393,321,1,458,330,3,441
월,16시-18시,7월,327,2,482,387,3,536,369,5,483
월,16시-18시,8월,338,3,495,357,2,482,308,2,437
월,16시-18시,9월,276,4,388,327,2,447,394,3,527
월,16시-18시,10월,370,5,576,350,4,494,318,4,429
월,16시-18시,11월,355,6,479,331,2,454,315,4,451
월,16시-18시,12월,290,2,398,308,6,409,423,4,590
월,18시-20시,전체,3846,41,5238,3951,33,5484,3988,38,5202
월,18시-20시,1월,387,9,547,369,4,514,405,5,543
월,18시-20시,2월,273,3,369,312,1,419,268,7,361
월,18시-20시,3월,240,3,314,253,1,353,297,3,373
월,18시-20시,4월,277,2,397,287,3,395,328,2,427
월,18시-20시,5월,332,4,434,330,2,472,243,3,321
월,18시-20시,6월,240,2,335,274,1,389,285,2,355
월,18시-20시,7월,289,0,385,328,0,451,346,1,452
월,18시-20시,8월,322,7,427,266,2,352,257,2,327
월,18시-20시,9월,322,3,429,356,2,487,368,0,490
월,18시-20시,10월,434,2,612,399,10,527,386,5,507
월,18시-20시,11월,390,4,530,410,6,584,356,6,452
월,18시-20시,12월,340,2,459,367,1,541,449,2,594
월,20시-22시,전체,2543,40,3607,2301,30,3127,2252,43,3063
월,20시-22시,1월,305,3,456,175,2,245,184,2,243
월,20시-22시,2월,188,1,253,149,1,209,148,1,228
월,20시-22시,3월,127,2,173,173,2,232,204,3,263
월,20시-22시,4월,187,1,292,168,5,215,223,6,317
월,20시-22시,5월,242,2,330,243,1,325,172,3,242
월,20시-22시,6월,195,6,275,213,2,307,191,5,253
월,20시-22시,7월,188,0,265,229,2,298,229,12,306
월,20시-22시,8월,245,5,340,181,3,241,185,2,252
월,20시-22시,9월,224,5,310,191,2,260,231,4,323
월,20시-22시,10월,214,4,307,212,5,304,140,0,178
월,20시-22시,11월,224,2,337,189,2,239,151,2,203
월,20시-22시,12월,204,9,269,178,3,252,194,3,255
월,22시-24시,전체,1680,26,2364,1442,26,2041,1387,21,1900
월,22시-24시,1월,132,4,180,139,1,212,117,0,159
월,22시-24시,2월,130,2,172,96,0,137,99,3,143
월,22시-24시,3월,136,1,184,101,1,148,115,2,172
월,22시-24시,4월,143,3,215,99,1,158,131,3,161
월,22시-24시,5월,171,4,246,154,3,211,93,1,127
월,22시-24시,6월,113,2,172,144,3,206,106,1,146
월,22시-24시,7월,120,1,165,153,4,208,134,2,194
월,22시-24시,8월,188,3,248,102,4,154,103,1,137
월,22시-24시,9월,140,1,209,114,2,153,139,2,172
월,22시-24시,10월,167,2,235,120,2,156,119,3,158
월,22시-24시,11월,127,2,165,103,3,134,123,2,180
월,22시-24시,12월,113,1,173,117,2,164,108,1,151
화,00시-02시,전체,773,26,1140,800,19,1127,676,19,950
화,00시-02시,1월,37,4,45,85,0,116,61,1,92
화,00시-02시,2월,36,4,59,70,2,101,60,0,86
화,00시-02시,3월,34,1,54,48,0,66,32,0,46
화,00시-02시,4월,94,1,157,54,0,76,63,2,102
화,00시-02시,5월,78,4,110,69,3,106,44,2,69
화,00시-02시,6월,52,1,77,59,0,80,50,2,61
화,00시-02시,7월,65,2,87,72,3,102,57,1,82
화,00시-02시,8월,102,2,140,90,3,124,43,2,57
화,00시-02시,9월,66,2,97,62,1,85,54,4,75
화,00시-02시,10월,62,1,98,74,3,104,74,1,110
화,00시-02시,11월,92,4,134,53,3,74,56,0,70
화,00시-02시,12월,55,0,82,64,1,93,82,4,100
화,02시-04시,전체,421,15,598,431,14,553,401,12,540
화,02시-04시,1월,14,0,19,45,1,57,34,2,44
화,02시-04시,2월,9,1,10,23,0,31,25,1,36
화,02시-04시,3월,26,0,33,29,0,36,28,1,32
화,02시-04시,4월,45,2,62,33,4,39,31,0,39
화,02시-04시,5월,46,0,73,35,2,42,18,2,21
화,02시-04시,6월,37,2,56,37,1,48,23,1,36
화,02시-04시,7월,35,1,47,39,1,53,33,0,51
화,02시-04시,8월,53,2,71,51,1,65,42,1,52
화,02시-04시,9월,46,2,69,45,1,60,43,2,61
화,02시-04시,10월,28,1,40,44,1,56,54,0,74
화,02시-04시,11월,41,2,63,31,2,34,33,1,43
화,02시-04시,12월,41,2,55,19,0,32,37,1,51
화,04시-06시,전체,578,31,747,646,27,886,659,21,845
화,04시-06시,1월,34,3,45,56,4,70,53,2,69
화,04시-06시,2월,29,2,34,52,3,63,44,1,59
화,04시-06시,3월,47,3,60,45,1,60,61,2,83
화,04시-06시,4월,47,4,56,51,3,69,56,2,83
화,04시-06시,5월,52,3,77,49,3,78,41,0,50
화,04시-06시,6월,36,0,47,49,1,68,48,1,60
화,04시-06시,7월,56,5,67,48,2,55,48,0,60
화,04시-06시,8월,67,4,97,60,2,92,61,2,85
화,04시-06시,9월,44,3,57,73,3,108,47,4,56
화,04시-06시,10월,56,2,71,72,3,106,85,2,99
화,04시-06시,11월,66,1,87,55,2,70,64,1,84
화,04시-06시,12월,44,1,49,36,0,47,51,4,57
화,06시-08시,전체,1767,48,2401,1833,33,2479,2051,35,2776
화,06시-08시,1월,165,2,206,129,3,175,205,4,272
화,06시-08시,2월,99,3,143,117,3,144,163,6,208
화,06시-08시,3월,104,3,149,159,2,203,148,0,235
화,06시-08시,4월,132,6,183,129,0,187,167,0,228
화,06시-08시,5월,179,4,264,178,5,251,167,4,222
화,06시-08시,6월,141,4,176,104,1,137,167,1,222
